dayIso	month	symbol	type	stockAttempted	quoteAttempted	tradeAttempted	enrichAttempted	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots
2025-12-23	2025-12	EOG	open	true	true	true	true	406	390	406	277	277	277	0	113	113	0	113	0
2025-12-23	2025-12	GIS	open	true	true	true	true	406	390	406	287	287	287	0	103	103	0	103	0
2025-12-23	2025-12	ICE	open	true	true	true	true	406	390	406	53	53	53	0	337	337	0	337	0
2025-12-23	2025-12	KO	open	true	true	true	true	406	390	406	389	389	389	0	1	1	0	1	0
2025-12-23	2025-12	MCD	open	true	true	true	true	406	390	406	381	381	381	0	9	9	0	9	0
2025-12-23	2025-12	MRK	open	true	true	true	true	406	390	406	388	388	388	0	2	2	0	2	0
2025-12-23	2025-12	OXY	open	true	true	true	true	406	390	406	383	383	383	0	7	7	0	7	0
2025-12-23	2025-12	PNC	open	true	true	true	true	406	390	406	122	122	122	0	268	268	0	268	0
2025-12-23	2025-12	RF	open	true	true	true	true	406	390	406	73	73	73	0	317	317	0	317	0
2025-12-23	2025-12	SLB	open	true	true	true	true	406	390	406	307	307	307	0	83	83	0	83	0
2025-12-23	2025-12	UPST	open	true	true	true	true	406	390	406	366	366	366	0	24	24	0	24	0
2025-12-23	2025-12	WFC	open	true	true	true	true	406	390	406	372	372	372	0	18	18	0	18	0
2025-12-23	2025-12	XOM	open	true	true	true	true	406	390	406	388	388	388	0	2	2	0	2	0
2025-12-26	2025-12	ALLY	open	true	true	true	true	406	390	406	123	123	123	0	267	267	0	267	0
2025-12-26	2025-12	BMY	open	true	true	true	true	406	390	406	376	376	376	0	14	14	0	14	0
2025-12-26	2025-12	CMG	open	true	true	true	true	406	390	406	389	389	389	0	1	1	0	1	0
2025-12-26	2025-12	COP	open	true	true	true	true	406	390	406	333	333	333	0	57	57	0	57	0
2025-12-26	2025-12	DE	open	true	true	true	true	406	390	406	272	272	272	0	118	118	0	118	0
2025-12-26	2025-12	GILD	open	true	true	true	true	406	390	406	288	288	288	0	102	102	0	102	0
2025-12-26	2025-12	HON	open	true	true	true	true	406	390	406	224	224	224	0	166	166	0	166	0
2025-12-26	2025-12	KHC	open	true	true	true	true	406	390	406	345	345	345	0	45	45	0	45	0
2025-12-26	2025-12	MCD	open	true	true	true	true	406	390	406	377	377	377	0	13	13	0	13	0
2025-12-26	2025-12	MRK	open	true	true	true	true	406	390	406	387	387	387	0	3	3	0	3	0
2025-12-26	2025-12	OXY	open	true	true	true	true	406	390	406	386	386	386	0	4	4	0	4	0
2025-12-26	2025-12	PM	open	true	true	true	true	406	390	406	336	336	336	0	54	54	0	54	0
2025-12-26	2025-12	RBLX	open	true	true	true	true	406	390	406	385	385	385	0	5	5	0	5	0
2025-12-26	2025-12	SCHW	open	true	true	true	true	406	390	406	344	344	344	0	46	46	0	46	0
2025-12-26	2025-12	SPGI	open	true	true	true	true	406	390	406	103	103	103	0	287	287	0	287	0
2025-12-26	2025-12	V	open	true	true	true	true	406	390	406	386	386	386	0	4	4	0	4	0
2025-12-29	2025-12	ABNB	open	true	true	true	true	406	390	406	312	312	312	0	78	78	0	78	0
2025-12-29	2025-12	AXP	open	true	true	true	true	406	390	406	352	352	352	0	38	38	0	38	0
2025-12-29	2025-12	CL	open	true	true	true	true	406	390	406	201	201	201	0	189	189	0	189	0
2025-12-29	2025-12	CVS	open	true	true	true	true	406	390	406	328	328	328	0	62	62	0	62	0
2025-12-29	2025-12	ETN	open	true	true	true	true	406	390	406	256	256	256	0	134	134	0	134	0
2025-12-29	2025-12	GS	open	true	true	true	true	406	390	406	387	387	387	0	3	3	0	3	0
2025-12-29	2025-12	HAL	open	true	true	true	true	406	390	406	311	311	311	0	79	79	0	79	0
2025-12-29	2025-12	JNJ	open	true	true	true	true	406	390	406	363	363	363	0	27	27	0	27	0
2025-12-29	2025-12	KO	open	true	true	true	true	406	390	406	387	387	387	0	3	3	0	3	0
2025-12-29	2025-12	MCD	open	true	true	true	true	406	390	406	370	370	370	0	20	20	0	20	0
2025-12-29	2025-12	MRK	open	true	true	true	true	406	390	406	383	383	383	0	7	7	0	7	0
2025-12-29	2025-12	OXY	open	true	true	true	true	406	390	406	387	387	387	0	3	3	0	3	0
2025-12-29	2025-12	PNC	open	true	true	true	true	406	390	406	191	191	191	0	199	199	0	199	0
2025-12-29	2025-12	RF	open	true	true	true	true	406	390	406	85	85	85	0	305	305	0	305	0
2025-12-29	2025-12	SHOP	open	true	true	true	true	406	390	406	381	381	381	0	9	9	0	9	0
2025-12-29	2025-12	TFC	open	true	true	true	true	406	390	406	138	138	138	0	252	252	0	252	0
2025-12-29	2025-12	VLO	open	true	true	true	true	406	390	406	304	304	304	0	86	86	0	86	0
2025-12-30	2025-12	AFRM	open	true	true	true	true	406	390	406	375	375	375	0	15	15	0	15	0
2025-12-30	2025-12	BLK	open	true	true	true	true	406	390	406	197	197	197	0	193	193	0	193	0
2025-12-30	2025-12	CL	open	true	true	true	true	406	390	406	211	211	211	0	179	179	0	179	0
2025-12-30	2025-12	CSCO	open	true	true	true	true	406	390	406	377	377	377	0	13	13	0	13	0
2025-12-30	2025-12	DIS	open	true	true	true	true	406	390	406	389	389	389	0	1	1	0	1	0
2025-12-30	2025-12	GILD	open	true	true	true	true	406	390	406	291	291	291	0	99	99	0	99	0
2025-12-30	2025-12	HON	open	true	true	true	true	406	390	406	217	217	217	0	173	173	0	173	0
2025-12-30	2025-12	KHC	open	true	true	true	true	406	390	406	337	337	337	0	53	53	0	53	0
2025-12-30	2025-12	MA	open	true	true	true	true	406	390	406	332	332	332	0	58	58	0	58	0
2025-12-30	2025-12	MPC	open	true	true	true	true	406	390	406	176	176	176	0	214	214	0	214	0
2025-12-30	2025-12	NOW	open	true	true	true	true	406	390	406	374	374	374	0	16	16	0	16	0
2025-12-30	2025-12	PM	open	true	true	true	true	406	390	406	270	270	270	0	120	120	0	120	0
2025-12-30	2025-12	RBLX	open	true	true	true	true	406	390	406	377	377	377	0	13	13	0	13	0
2025-12-30	2025-12	SCHW	open	true	true	true	true	406	390	406	321	321	321	0	69	69	0	69	0
2025-12-30	2025-12	SPGI	open	true	true	true	true	406	390	406	138	138	138	0	252	252	0	252	0
2025-12-30	2025-12	USB	open	true	true	true	true	406	390	406	263	263	263	0	127	127	0	127	0
2025-12-31	2025-12	ABBV	open	true	true	true	true	406	390	406	345	345	345	0	45	45	0	45	0
2025-12-31	2025-12	ALLY	open	true	true	true	true	406	390	406	90	90	90	0	300	300	0	300	0
2025-12-31	2025-12	BAC	open	true	true	true	true	406	390	406	389	389	389	0	1	1	0	1	0
2025-12-31	2025-12	BMY	open	true	true	true	true	406	390	406	371	371	371	0	19	19	0	19	0
2025-12-31	2025-12	CME	open	true	true	true	true	406	390	406	88	88	88	0	302	302	0	302	0
2025-12-31	2025-12	CRM	open	true	true	true	true	406	390	406	386	386	386	0	4	4	0	4	0
2025-12-31	2025-12	CVX	open	true	true	true	true	406	390	406	369	369	369	0	21	21	0	21	0
2025-12-31	2025-12	ETN	open	true	true	true	true	406	390	406	215	215	215	0	175	175	0	175	0
2025-12-31	2025-12	HAL	open	true	true	true	true	406	390	406	251	251	251	0	139	139	0	139	0
2025-12-31	2025-12	JPM	open	true	true	true	true	406	390	406	389	389	389	0	1	1	0	1	0
2025-12-31	2025-12	LMT	open	true	true	true	true	406	390	406	297	297	297	0	93	93	0	93	0
2025-12-31	2025-12	MMM	open	true	true	true	true	406	390	406	213	213	213	0	177	177	0	177	0
2025-12-31	2025-12	MS	open	true	true	true	true	406	390	406	333	333	333	0	57	57	0	57	0
2025-12-31	2025-12	PEP	open	true	true	true	true	406	390	406	355	355	355	0	35	35	0	35	0
2025-12-31	2025-12	PNC	open	true	true	true	true	406	390	406	211	211	211	0	179	179	0	179	0
2025-12-31	2025-12	RF	open	true	true	true	true	406	390	406	89	89	89	0	301	301	0	301	0
2025-12-31	2025-12	SHOP	open	true	true	true	true	406	390	406	385	385	385	0	5	5	0	5	0
2025-12-31	2025-12	TFC	open	true	true	true	true	406	390	406	101	101	101	0	289	289	0	289	0
2025-12-31	2025-12	USB	open	true	true	true	true	406	390	406	312	312	312	0	78	78	0	78	0
2025-12-31	2025-12	XOM	open	true	true	true	true	406	390	406	388	388	388	0	2	2	0	2	0
